politician,issuer,published_date,traded_date,Filed After,owner,transaction_type,amount_range,reported_price,Unnamed: 9,source
Michael McCaulRepublicanHouseTX,HARDING LOEVNER INTERNATIONAL EQUITY PORTFOLIOHLMIX:US,26 Sept2025,20 Dec2024,days279,Spouse,buy,1K–15K,,Goto trade detail page.,https://www.capitoltrades.com/trades
Michael McCaulRepublicanHouseTX,DFA EMERGING MARKETS CORE EQUITY PORTFOLIODFCEX:US,26 Sept2025,11 Dec2024,days288,Spouse,buy,1K–15K,,Goto trade detail page.,https://www.capitoltrades.com/trades
Michael McCaulRepublicanHouseTX,DFA EMERGING MARKETS CORE EQUITY PORTFOLIODFCEX:US,26 Sept2025,30 Sept2024,days360,Spouse,buy,1K–15K,,Goto trade detail page.,https://www.capitoltrades.com/trades
Michael McCaulRepublicanHouseTX,DFA EMERGING MARKETS CORE EQUITY PORTFOLIODFCEX:US,26 Sept2025,30 Jun2025,days87,Spouse,buy,1K–15K,,Goto trade detail page.,https://www.capitoltrades.com/trades
Michael McCaulRepublicanHouseTX,DFA EMERGING MARKETS CORE EQUITY PORTFOLIODFCEX:US,26 Sept2025,28 Jun2024,days454,Spouse,buy,1K–15K,,Goto trade detail page.,https://www.capitoltrades.com/trades
Michael McCaulRepublicanHouseTX,Vanguard Total Stock Market ETFVTI:US,26 Sept2025,28 Mar2025,days181,Spouse,buy,1K–15K,$273.43,Goto trade detail page.,https://www.capitoltrades.com/trades
Michael McCaulRepublicanHouseTX,Vanguard Total Stock Market ETFVTI:US,26 Sept2025,1 Jul2024,days451,Spouse,buy,1K–15K,$268.05,Goto trade detail page.,https://www.capitoltrades.com/trades
Michael McCaulRepublicanHouseTX,Vanguard Total Stock Market ETFVTI:US,26 Sept2025,24 Dec2024,days275,Spouse,buy,1K–15K,$297.12,Goto trade detail page.,https://www.capitoltrades.com/trades
Michael McCaulRepublicanHouseTX,Vanguard Total Stock Market ETFVTI:US,26 Sept2025,25 Mar2024,days549,Spouse,buy,1K–15K,$257.92,Goto trade detail page.,https://www.capitoltrades.com/trades
Michael McCaulRepublicanHouseTX,Vanguard Total Stock Market ETFVTI:US,26 Sept2025,30 Sept2024,days360,Spouse,buy,1K–15K,$283.16,Goto trade detail page.,https://www.capitoltrades.com/trades
Michael McCaulRepublicanHouseTX,HARDING LOEVNER INTERNATIONAL EQUITY PORTFOLIOHLMIX:US,26 Sept2025,20 Dec2024,days279,Spouse,buy,50K–100K,,Goto trade detail page.,https://www.capitoltrades.com/trades
Michael McCaulRepublicanHouseTX,NATIONWIDE GENEVA MID CAP GROWTH FUNDNWHVX:US,26 Sept2025,20 Dec2024,days279,Spouse,buy,15K–50K,,Goto trade detail page.,https://www.capitoltrades.com/trades
